v8-version,4,9,385,28,0
code-creation,Stub,2,0x2c0a000,251,"CEntryStub"
code-creation,Stub,2,0x2c0a100,97,"StoreBufferOverflowStub"
code-creation,Stub,2,0x2c0a180,197,"StoreBufferOverflowStub"
code-creation,Stub,2,0x2c0a260,331,"CEntryStub"
code-creation,Stub,2,0x2c0a3c0,79,"StubFailureTrampolineStub"
code-creation,Stub,2,0x2c0a420,80,"StubFailureTrampolineStub"
code-creation,Stub,2,0x2c0a480,333,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x2c0a5e0,309,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x2c0a720,341,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x2c0a880,317,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x2c0a9c0,349,"ArrayNoArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x2c0ab20,349,"ArrayNoArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x2c0ac80,317,"ArrayNoArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x2c0adc0,317,"ArrayNoArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x2c0af00,1509,"RecordWriteStub"
code-creation,Stub,2,0x2c0b500,528,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x2c0b720,410,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x2c0b8c0,540,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x2c0bae0,418,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x2c0bca0,1464,"RecordWriteStub"
code-creation,Stub,2,0x2c0c260,548,"ArraySingleArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x2c0c4a0,548,"ArraySingleArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x2c0c6e0,418,"ArraySingleArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x2c0c8a0,418,"ArraySingleArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x2c0ca60,1481,"RecordWriteStub"
